value,df,idf,tf_idf
singhh3010,3,10.064591795413069,0.5323798019844669
value,396,5.466949875845769,1.6774319659021781
cars,6,9.504976007477646,0.898627160158527
cluster,3,10.064591795413069,0.5132354365776879
dee062001,1,10.757738975973014,1.7253789779774746
expected,8,9.25366157919674,0.5373243913183925
formed,142,6.488041526273052,0.9841448244098858
infinite,17,8.560514398636794,1.0757738975973015
number,1991,3.853991718388415,0.31942788119068016
road,6,9.504976007477646,0.8192789618511477
courses,12,8.885936799071423,0.3079412619466128
learn,71,7.174220037516903,1.0757738975973015
new,84,7.008234900042642,0.5216475430814588
skills!,1,10.757738975973014,0.7292003073173288
tech,20,8.406363718809537,0.24018889349655392
(c1),2,10.352273867864849,0.6631209786414257
engineer,248,5.933433260068251,1.1452712788639732
mindtree,10,9.052990883734589,1.2808542152492797
off-campus,132,6.560537028311205,0.747754293635442
software,539,5.159317016974639,0.8855161040694755
ashugupta917gfg,21,8.359843703174644,1.4377988279161527
consider,8,9.25366157919674,1.4788962668378354
hackathons,1,10.757738975973014,0.7177761904585042
learning,133,6.553046356582048,0.5991885229246624
machine,138,6.516412223402267,0.778228581694254
solutions,95,6.886537965065123,0.7380619678507051
unthinkable,7,9.371444614853123,0.9779762705430013
abhishek1110,1,10.757738975973014,0.48087989407617115
distinct,227,6.0215405275785185,0.5854773511306094
sized,8,9.25366157919674,0.6969724111467908
subarrays,164,6.344940682632378,0.6170406420382629
built-in,7,9.371444614853123,0.3294222958891043
calling,8,9.25366157919674,0.7033921899844228
case,46,7.6007385548229,0.851949510441193
converted,14,8.742835955430749,0.8781024261186275
method,669,4.943608444147947,0.3977342993231429
mrtwinklesharma,7,9.371444614853123,0.705636972947184
returns,4,9.841448244098858,0.9411158061695317
upper,20,8.406363718809537,0.44112519344713125
c,823,4.7367156266234876,0.8640887279525133
identity,10,9.052990883734589,0.680054022089167
program,1428,4.186155978603091,0.9411158061695317
rashimnarayantiku,1,10.757738975973014,0.21835353954232176
goldman,148,6.4469398505874995,0.9779762705430013
sachs,147,6.453673882768844,1.093769323138643
amiyaranjanrout,38,7.787324510403312,2.588068466966212
boot,13,8.8118288269177,2.6894347439932536
crud,10,9.052990883734589,2.516147948853267
operations,224,6.034785754328539,1.0058878759705099
spring,23,8.272832326185014,1.0164778959487681
(off-campus),109,6.750405790740543,0.9288715225749603
abhishek0503,1,10.757738975973014,0.9103099576123862
hat,11,8.965979506744958,0.550122123986345
red,13,8.8118288269177,0.550122123986345
bhuwanesh,15,8.678297434293178,1.1953043306636681
examples,585,5.0775663669559465,0.6189281300146954
maps,7,9.371444614853123,0.7520838810454155
database,103,6.806495257391586,0.5369023583521504
graph,251,5.921457069021535,0.6281857756198974
introduction,357,5.570353170132258,0.6343677556036756
jhimlic1,3,10.064591795413069,1.006309558466958
nosql,6,9.504976007477646,1.4788962668378354
anamika62,1,10.757738975973014,0.8499468494268902
decision,24,8.232010331664759,0.9709894009107765
diagram,25,8.192789618511476,0.6615242145821952
mean,48,7.559065858422333,0.7240458026002519
shivam.pradhan,93,6.907591374262955,0.8230927654109342
sides,20,8.406363718809537,0.4227789257053495
atmost,22,8.31539194060381,0.7651708850072358
partition,43,7.666696522614698,0.684175703534274
partitions,17,8.560514398636794,0.9288715225749603
shreyanshgupta838,5,9.659126687304903,1.1182879772681187
"[0,",6,9.504976007477646,0.6074388750939743
containing,48,7.559065858422333,1.1881220009347058
m),2,10.352273867864849,1.2580739744266336
q,34,7.895538095043546,1.3447173719966268
query,82,7.032045548736361,1.1567076973995924
range,376,5.518640969084948,0.8110051907841315
updates,21,8.359843703174644,1.0700642998295993
values,214,6.080248128405296,0.4817489647985519
ask,2,10.352273867864849,1.1881220009347058
job?,5,9.659126687304903,0.9873263110079359
referral,1,10.757738975973014,0.8332936042168368
either,30,8.016898952047812,0.22886764621034
i/2,1,10.757738975973014,0.22886764621034
largest,258,5.894058094833421,0.7971355597241003
present,90,6.940026650016109,0.7786927666714046
upto,33,7.924525631916797,0.815556921373294
0s,48,7.559065858422333,1.1953043306636681
1s,87,6.973549342054753,0.9340404132010596
amrithabpatil,5,9.659126687304903,1.035227386786485
generate,119,6.663394413750913,0.6996538860279452
length,390,5.482178596547593,0.5933433260068252
strings,298,5.750442583142273,0.31942788119068016
itzakm33,1,10.757738975973014,0.20598088158930603
microsoft,301,5.740459139158089,0.3079412619466128
sde-i,16,8.617672812476743,0.905299088373459
experienced,64,7.276498886637322,0.6560537028311205
year,59,7.356541594310858,0.5159317016974639
course,46,7.6007385548229,0.24018889349655392
free!,3,10.064591795413069,0.8589724068013949
get,250,5.925433217401175,1.1942633861678063
interview-ready,1,10.757738975973014,1.3219516541709628
preparation,27,8.118681646357755,1.5368198537104305
winter,1,10.757738975973014,0.936149479511721
"[l,",48,7.559065858422333,0.9309160319146096
geekyss,7,9.371444614853123,0.870614268837278
peaks,3,10.064591795413069,0.8745673575349314
permutation,95,6.886537965065123,0.3992848514883502
r],50,7.519060523808633,0.2574761019866325
valleys,2,10.352273867864849,0.38492657743326597
x,226,6.025936139051557,0.6520594288518234
map,79,7.0688595218590775,0.8608172456331403
tuples,33,7.924525631916797,1.1714305768566404
arduino,1,10.757738975973014,0.3002361168706924
custom,53,7.461902109968685,1.3447173719966268
durveshnp,1,10.757738975973014,0.5496625536674102
library,88,6.962249786800819,0.7526925659473148
(matrix),1,10.757738975973014,0.4756262914185182
2d,63,7.292003073173287,0.5814787868092703
columns,53,7.461902109968685,1.1567076973995924
pintusaini,66,7.246193537141993,0.7931175853290473
reverse,170,6.309222600030299,0.5151420584364308
(csp)?,1,10.757738975973014,0.386820570874165
communication,30,8.016898952047812,0.7809537179044269
provider,1,10.757738975973014,0.7711384649330616
ravkumar909,2,10.352273867864849,0.633394879568575
service,29,8.049688774870804,0.7285696629525624
(wff),1,10.757738975973014,0.4361900046206745
engineering,143,6.481072856956958,0.4119673703456622
formulas,3,10.064591795413069,0.7809537179044269
mathematics,88,6.962249786800819,0.8201206870082381
sjasandeep7,1,10.757738975973014,0.35634682055804856
well,4,9.841448244098858,0.7005303099007947
6,191,6.193390784505177,0.45557915632048074
akvs,2,10.352273867864849,0.9473431253246976
dividing,22,8.31539194060381,0.41196176317861205
minimum,933,4.611409718304117,1.810598176746918
multiplying,22,8.31539194060381,1.0579357669675766
es6,16,8.617672812476743,0.8372311957206183
operator,137,6.5236324713757545,0.6716554891479906
spread,4,9.841448244098858,0.6148189830388262
torq1284,3,10.064591795413069,0.3992848514883502
anjalishukla1859,13,8.8118288269177,0.6739703701188953
concepts,16,8.617672812476743,0.38492657743326597
mole,2,10.352273867864849,0.6520594288518234
problems,42,7.689686040839397,1.3447173719966268
bunny09262002,1,10.757738975973014,0.3002361168706924
gcd,91,6.929097579483919,0.999505551468493
occurring,32,7.954378595066479,0.45632554455811447
jacob27,1,10.757738975973014,0.29425840227043715
split,102,6.816157168303323,0.9209914072267856
compare,26,8.15504929052863,0.7702518515644516
floating-point,4,9.841448244098858,0.43991608849516106
iramkhalid24,7,9.371444614853123,0.9219534118241205
notations,6,9.504976007477646,0.973415563800414
scientific,5,9.659126687304903,1.1014786033647126
credit,6,9.504976007477646,1.1316238604668236
suisse,3,10.064591795413069,0.9423578938881016
greater,164,6.344940682632378,0.7543482192910673
harshalkhond,11,8.965979506744958,1.0341040407731268
next,84,7.008234900042642,0.45295565684751843
convert,346,5.601561376586099,0.5063595799212833
jainuditkumar,4,9.841448244098858,0.9643436843915061
(virtual),53,7.461902109968685,1.5368198537104305
sde-2,38,7.787324510403312,0.45632554455811447
walmart,47,7.579685145625068,1.2808542152492797
fidelity,10,9.052990883734589,0.7702518515644516
investments,9,9.148301063538913,0.43991608849516106
anushikasethh,3,10.064591795413069,1.2588326895596715
end,111,6.732387285237865,0.7516633016930107
jumps,33,7.924525631916797,1.7356594868586357
smallest,281,5.808979085594846,0.8750154585109144
algebra?,1,10.757738975973014,1.0155132733911894
equals,32,7.954378595066479,1.8742889229706248
saraswatgaurang,3,10.064591795413069,1.3612990514783174
‘i’,2,10.352273867864849,1.184291413804307
bar,42,7.689686040839397,1.1140706340264517
bottom,37,7.813299996806573,2.012918359082614
flutter,137,6.5236324713757545,1.9009952014955294
navigation,18,8.506447177366518,2.6894347439932536
rajenderkatkuri7,1,10.757738975973014,1.153388335461842
android,366,5.545524308478389,2.0580025829161896
deathmukh,1,10.757738975973014,2.048197404627869
device?,3,10.064591795413069,0.7043220409084906
php,331,5.6457511876164705,0.4175907231627836
boundary,24,8.232010331664759,0.550122123986345
kth,82,7.032045548736361,0.4933971432473032
ucs19444,1,10.757738975973014,0.44975834060476316
linked,451,5.337203976700728,0.51674623202564
list,826,4.733081461509268,0.8398962064913702
nirajgusain5,5,9.659126687304903,0.7675101526958839
nodes,320,5.679445033402943,0.9340404132010596
order,254,5.909622611374533,0.4697895635581316
position,91,6.929097579483919,1.0394239925754762
form,251,5.921457069021535,0.6188873894846381
indices,68,7.2167796519357,0.8050313578045879
rishabhbatra53,3,10.064591795413069,0.9583370653268373
hrithik2108,1,10.757738975973014,1.0700642998295993
literals,15,8.678297434293178,0.9154689714359834
multi-line,4,9.841448244098858,1.207390835913113
template,47,7.579685145625068,0.7311520005752036
write,93,6.907591374262955,0.2891012698819272
hiring,24,8.232010331664759,0.5814666044940257
smart,26,8.15504929052863,0.7963287590665269
tcs,178,6.263500350692204,0.3649249092254009
certification,13,8.8118288269177,0.3853799704538491
infosys,75,7.120152816246628,0.6896907312880737
infytq,18,8.506447177366518,0.6073490842341189
background,45,7.622244760043864,0.5409265806720278
color,84,7.008234900042642,0.42451084377576526
skyridetim,16,8.617672812476743,0.4554966976170412
hsbc,19,8.45515388297897,0.6430649002442034
prateeks778,1,10.757738975973014,0.46771139449271515
tse,1,10.757738975973014,2.588068466966212
blocked,3,10.064591795413069,2.414781671826226
scoped,2,10.352273867864849,2.6894347439932536
variables,79,7.0688595218590775,2.1266117943416294
java,1823,3.9420989858986824,0.8907665502275347
sort,327,5.6578725481488155,1.1953043306636681
wave,13,8.8118288269177,0.6548953438703801
harshsethi2000,18,8.506447177366518,0.5271137577700234
interface,62,7.307751430141426,0.513094935971862
java.net.filenamemap,1,10.757738975973014,0.7711140722240121
developers,25,8.192789618511476,0.9962199451938841
ides,6,9.504976007477646,0.37793989993580723
jetbrains,1,10.757738975973014,0.8805028479907552
suryadbdeveloper,4,9.841448244098858,0.7559065858422334
batch,21,8.359843703174644,0.6973549342054753
ends,15,8.678297434293178,0.9659126687304904
remove,200,6.147581248473883,0.4613553341847368
script,70,7.188206279491643,0.4397300429339282
thenavneet,5,9.659126687304903,0.5277100052631022
bash,32,7.954378595066479,0.6663394413750914
initialize,16,8.617672812476743,0.5482178596547593
meetgor,33,7.924525631916797,0.47440238199302115
scripting,21,8.359843703174644,0.5750442583142273
iterating,10,9.052990883734589,0.8163963782497281
fileinputstream,3,10.064591795413069,0.5323798019844669
getchannel(),1,10.757738975973014,0.5132354365776879
data-types,2,10.352273867864849,1.7929564959955022
luizashaikh1,1,10.757738975973014,0.9567431898596814
non-primitive,1,10.757738975973014,1.436278802079457
primitive,11,8.965979506744958,0.46686941005261673
check,917,4.628688765912468,0.5933433260068252
variable,79,7.0688595218590775,0.31942788119068016
application,132,6.560537028311205,0.7276498886637323
framework,44,7.644223666762639,0.20598088158930603
gauravgandal,5,9.659126687304903,0.3079412619466128
optiva,1,10.757738975973014,0.574045913915809
scanner,20,8.406363718809537,0.5159317016974639
vulnerabilities,4,9.841448244098858,0.7356541594310859
web,167,6.3269221771297,0.24018889349655392
"(i,",16,8.617672812476743,0.8445265060914333
a[j]<a[k]<a[i],1,10.757738975973014,1.1182879772681187
i<j<k,2,10.352273867864849,0.22886764621034
index,159,6.375712341299132,0.6583814686001306
"j,",9,9.148301063538913,0.3421569577184586
k),11,8.965979506744958,1.1953043306636681
triplets,56,7.4078348886984084,0.902075738484195
anuragayu,3,10.064591795413069,1.1953043306636681
happen,4,9.841448244098858,0.45009740437447404
one,319,5.682565160739187,0.7559065858422334
return,48,7.559065858422333,0.4047825065442869
time?,3,10.064591795413069,0.9371444614853124
tried,1,10.757738975973014,0.46178544237467584
ad,4,9.841448244098858,1.006459179541307
anupamtiwari99,1,10.757738975973014,0.6886537965065123
competitive,75,7.120152816246628,0.7519060523808634
hoc,4,9.841448244098858,0.5518640969084948
programming?,14,8.742835955430749,1.035227386786485
codersaty,15,8.678297434293178,0.6025936139051558
equation,46,7.6007385548229,1.7356594868586357
line,128,6.591073752171287,0.8750154585109144
passing,31,7.985150253733233,1.0155132733911894
points,103,6.806495257391586,1.4137719043718155
straight,21,8.359843703174644,1.5849051263833596
alternate,54,7.443552971300488,1.5368198537104305
another,168,6.320987441609885,0.6250110417935102
merge,97,6.865918677862387,0.7676062733119892
positions,34,7.895538095043546,1.065986015709812
deft1991,1,10.757738975973014,1.5368198537104305
game,140,6.50212626615479,0.994607112400117
pattern,215,6.075607748848794,0.5176636078257353
prototype,8,9.25366157919674,1.3447173719966268
server,91,6.929097579483919,0.9115003841466609
consumption:,1,10.757738975973014,0.4697895635581316
dictionary,117,6.6802015320672945,0.9327377637460856
memory,124,6.622572419230658,0.4756262914185182
python,2679,3.5573140830280567,0.9057741921427491
vs,257,5.897926571611341,0.5232694973253864
artificial,50,7.519060523808633,0.7886528250037874
cloud,68,7.2167796519357,0.7676062733119892
computing?,4,9.841448244098858,0.7026502663300871
improving,2,10.352273867864849,0.45632554455811447
intelligence,39,7.762006702419023,0.29425840227043715
jahnavisarora791,14,8.742835955430749,0.43991608849516106
irrational,2,10.352273867864849,1.231096116068106
numbers?,5,9.659126687304903,1.269419542724489
rationalize,1,10.757738975973014,2.151547795194603
deletions,19,8.45515388297897,1.6033797904095626
insertions,11,8.965979506744958,2.151547795194603
kdheeraj,10,9.052990883734589,2.07045477357297
make,387,5.489880816909685,1.609937754974161
repositioning,1,10.757738975973014,1.3447173719966268
stryker27,2,10.352273867864849,0.8101341071196198
campaign,1,10.757738975973014,0.8110051907841315
"live,",1,10.757738975973014,1.2580739744266336
upgrade,2,10.352273867864849,0.8702812233501024
upgrade!,1,10.757738975973014,1.3447173719966268
intern+sde-1,1,10.757738975973014,1.2301810305123573
full-stack,1,10.757738975973014,0.5063595799212833
intern,75,7.120152816246628,0.4244267364114698
zluri,1,10.757738975973014,0.425047278690597
0,105,6.787447062420892,0.563035525864107
cyclically,2,10.352273867864849,0.9411158061695317
decremented,1,10.757738975973014,0.7559447218730736
decrements,8,9.25366157919674,0.7288089956407102
reduced,15,8.678297434293178,0.4192190653003743
samim2000,28,8.083590326546485,0.6969724111467908
finishes,1,10.757738975973014,0.7559447218730736
job,44,7.644223666762639,0.4312748927209283
performing,43,7.666696522614698,0.6734395353362189
person,16,8.617672812476743,1.2296379660776524
persons,19,8.45515388297897,0.7985697029767004
still,4,9.841448244098858,0.514952203973265
whenever,2,10.352273867864849,0.7698531548665319
(frontend),3,10.064591795413069,2.1544182031191856
sde-ii,6,9.504976007477646,1.6309081178439386
mysql?,4,9.841448244098858,2.4603620610247146
subhajitghosh1997,2,10.352273867864849,2.516147948853267
swap,71,7.174220037516903,1.7623657653835403
python3,16,8.617672812476743,1.3032824446804536
right,132,6.560537028311205,1.7235345624953486
rotation,35,7.867367218076849,2.07045477357297
move,53,7.461902109968685,1.5379372081678795
zeroes,16,8.617672812476743,0.4697895635581316
made,62,7.307751430141426,1.3447173719966268
palindrome,142,6.488041526273052,0.5550717861532162
single,94,6.897009264932418,0.5059781331803586
subhankarjadab,3,10.064591795413069,0.8661371974354899
type,147,6.453673882768844,0.4756262914185182
11,117,6.6802015320672945,0.8308581389749629
cbse,8,9.25366157919674,0.9942973243833099
notes,17,8.560514398636794,0.5187437889473518
physics,3,10.064591795413069,0.6690600586198353
arithmetic,93,6.907591374262955,0.7698997310537687
system,309,5.714313859053767,0.4227789257053495
links,16,8.617672812476743,1.1953043306636681
mdayyanfahim,3,10.064591795413069,0.4282213020431572
navigating,2,10.352273867864849,0.513094935971862
selenium,43,7.666696522614698,0.757350796478147
const,19,8.45515388297897,0.5081766761150589
keywords,15,8.678297434293178,1.0193811613160788
let,6,9.504976007477646,1.2301810305123573
shubhamvora05,3,10.064591795413069,0.4756262914185182
"var,",1,10.757738975973014,1.1714305768566404
nitupandel001,3,10.064591795413069,1.1881220009347058
objects,78,7.081438304065937,0.5772318029683448
anagram,27,8.118681646357755,1.207390835913113
deletion,17,8.560514398636794,0.5716987606294412
manipulations,4,9.841448244098858,0.4175907231627836
required,272,5.841414361347999,0.6984555758454939
without,240,5.966089223042304,0.8398962064913702
.md,1,10.757738975973014,0.48858893659325353
add,191,6.193390784505177,0.4933971432473032
file,332,5.642743666552515,0.6583814686001306
gifs,1,10.757738975973014,1.0412716238725692
github,36,7.839968243888735,0.4227789257053495
readme,2,10.352273867864849,0.6189281300146954
repository?,1,10.757738975973014,0.5970271014648805
10,259,5.890204525517431,1.056108445275294
programmers,18,8.506447177366518,0.3549198679896446
acceleration,2,10.352273867864849,0.22886764621034
center,15,8.678297434293178,0.599084773439018
